"REF_DATE","GEO","DGUID","Egg production","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada [000000000]","2021A000011124","Table eggs","Number of farms reporting","Number","223","units","0","v1327132183","1.1.1","9998","B","","","0"
"2021","Canada [000000000]","2021A000011124","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132184","1.1.2","745024034","A","","","0"
"2021","Canada [000000000]","2021A000011124","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132185","1.2.1","1062","B","","","0"
"2021","Canada [000000000]","2021A000011124","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132186","1.2.2","81100871","A","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Table eggs","Number of farms reporting","Number","223","units","0","v1327132187","2.1.1","34","B","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132188","2.1.2","12157784","D","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132189","2.2.1","5","C","","","0"
"2021","Newfoundland and Labrador [PR100000000]","2021A000210","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132190","2.2.2","","F","","","0"
"2021","Census Agricultural Region 1, Newfoundland and Labrador [CAR100100000]","2021S05011001","Table eggs","Number of farms reporting","Number","223","units","0","v1327132191","3.1.1","18","B","","","0"
"2021","Census Agricultural Region 1, Newfoundland and Labrador [CAR100100000]","2021S05011001","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132192","3.1.2","11752481","C","","","0"
"2021","Census Agricultural Region 1, Newfoundland and Labrador [CAR100100000]","2021S05011001","Hatching eggs","Number of farms reporting","Number","223","units","0","v1327132193","3.2.1","0","B","","","0"
"2021","Census Agricultural Region 1, Newfoundland and Labrador [CAR100100000]","2021S05011001","Hatching eggs","Number of eggs (dozens)","Number","223","units","0","v1327132194","3.2.2","0","A","","","0"
"2021","Division No.  1, Newfoundland and Labrador [CD100101000]","2021A00031001","Table eggs","Number of farms reporting","Number","223","units","0","v1327132195","4.1.1","18","B","","","0"
"2021","Division No.  1, Newfoundland and Labrador [CD100101000]","2021A00031001","Table eggs","Number of eggs (dozens)","Number","223","units","0","v1327132196","4.1.2","11752481","C","","","0"
