CD,Employees,NormalizationIndex(%)
2401,0.0,0.0
2402,0.0,0.0
2403,0.0,0.0
2404,0.0,0.0
2405,0.0,0.0
2406,0.0,0.0
2407,0.0,0.0
2408,0.0,0.0
2409,0.0,0.0
2410,0.0,0.0
2411,0.0,0.0
2412,0.0,0.0
2413,0.0,0.0
2414,0.0,0.0
2415,0.0,0.0
2416,0.0,0.0
2417,0.0,0.0
2418,0.0,0.0
2419,714.5,9.185575625120524
2420,0.0,0.0
2421,0.0,0.0
2422,0.0,0.0
2423,140.5,1.806260847207045
2425,89.0,1.1441794690493026
2426,0.0,0.0
2427,0.0,0.0
2428,0.0,0.0
2429,0.0,0.0
2430,0.0,0.0
2431,0.0,0.0
2432,0.0,0.0
2433,0.0,0.0
2434,0.0,0.0
2435,0.0,0.0
2436,0.0,0.0
2437,149.5,1.9219643890210196
2438,109.0,1.4012984508581345
2439,0.0,0.0
2440,0.0,0.0
2441,0.0,0.0
2442,2.5,0.032139872726104
2443,0.0,0.0
2444,0.0,0.0
2445,49.0,0.6299415054316385
2446,0.0,0.0
2447,0.0,0.0
2448,0.0,0.0
2449,0.0,0.0
2450,0.0,0.0
2451,0.0,0.0
2452,2.5,0.032139872726104
2453,0.0,0.0
2454,0.0,0.0
2455,0.0,0.0
2456,349.5,4.49315420710934
2457,7.0,0.08999164363309121
2458,352.0,4.525294079835444
2459,0.0,0.0
2460,34.5,0.44353024362023524
2461,0.0,0.0
2462,0.0,0.0
2463,349.5,4.49315420710934
2464,275.5,3.541813974416661
2465,1712.0,22.00938484283602
2466,2258.5,29.035161020762356
2467,112.5,1.4462942726746804
2468,0.0,0.0
2469,0.0,0.0
2470,0.0,0.0
2471,74.5,0.9577682072378993
2472,352.0,4.525294079835444
2473,513.5,6.601529857941762
2474,5.0,0.064279745452208
2475,0.0,0.0
2476,0.0,0.0
2477,0.0,0.0
2478,0.0,0.0
2479,0.0,0.0
2480,0.0,0.0
2481,0.0,0.0
2482,0.0,0.0
2483,0.0,0.0
2484,0.0,0.0
2485,0.0,0.0
2486,0.0,0.0
2487,0.0,0.0
2488,0.0,0.0
2489,0.0,0.0
2490,0.0,0.0
2491,0.0,0.0
2492,0.0,0.0
2493,0.0,0.0
2494,126.0,1.619849585395642
2495,0.0,0.0
2496,0.0,0.0
2497,0.0,0.0
2498,0.0,0.0
2499,0.0,0.0
