Animal,Uptake N (kg/animal/year),Uptake P (kg/animal/year),Uptake K (kg/animal/year),Fixation N (kg/animal/year),Fixation P (kg/animal/year),Fixation K (kg/animal/year),Excretion  N (kg/animal/year),Excretion  P2O5  (kg/animal/year),Excretion  K2O  (kg/animal/year),Excretion  P (kg/animal/year),Excretion  K (kg/animal/year),Notes
Dairy cows,180.55,26.95,155.5,44.65,8.05,12.7,135.9,43.3,172,18.9082969432314,142.738589211618,It is yearly normalized (for all itens)
"Dairy young stock, 12 months and under",43.65,6.5,43.35,6.4,2.05,0.6,37.25,10.25,51.55,4.47598253275109,42.7800829875519,
"Dairy young stock, 12 months and over",80.45,11.9,98.2,5.3,1.7,0.5,75.15,23.35,117.85,10.1965065502183,97.8008298755187,
Male young stock of 12 months and under,44.9,6.7,43.6,8.9,2.6,0.7,35.9,9.4,51.7,4.10480349344978,42.9045643153527,
Stud bulls of 12 months and over,90.6,13.4,101.1,4.7,1.4,0.4,86,27.5,121.4,12.0087336244541,100.746887966805,
Fattening calves,29.8,5.3,16.75,10.8,2.45,0.65,19.05,6.45,19.4,2.81659388646288,16.0995850622407,
Beef bulls 12 months and under,37.5,6.1,22.3,11.5,3,0.8,26,7.1,26,3.10043668122271,21.5767634854772,
Beef bulls 12 months and over,63.8,11,38,10,3,0.8,53.8,18.4,44.9,8.03493449781659,37.2614107883817,
"Suckler, feedlot and grazing cows",95.8,14.4,126.1,10.9,2.2,2.9,84.9,28.1,148.4,12.2707423580786,123.153526970954,
Sheep,16.6,2.5,21.1,2.3,0.4,0.1,14.4,4.8,25.2,2.09606986899563,20.9128630705394,
Goat,21.4,4,15.1,5.4,1.3,1.9,16,6.4,15.9,2.79475982532751,13.195020746888,
Hogs,20,3.7,7.3,7.1,1.5,0.6,12.9,5,8.1,2.18340611353712,6.72199170124481,
Glits and young boar,19.9,3.9,7.3,6.4,1.4,0.6,13.5,5.9,8.1,2.5764192139738,6.72199170124481,
Broiler,1.06,0.17,0.26,0.53,0.08,0.05,0.53,0.19,0.26,0.082969432314411,0.215767634854772,
Parent animal of broilers of 18 weeks and under ,0.53,0.12,0.15,0.2,0.03,0.01,0.33,0.2,0.16,0.087336244541485,0.132780082987552,
Parent animal of broilers of 18 weeks and over ,1.4,0.27,0.38,0.28,0.04,0.02,1.12,0.55,0.44,0.240174672489083,0.365145228215768,
Laying hen of 18 weeks and under,0.46,0.1,0.13,0.12,0.02,0.01,0.34,0.17,0.14,0.074235807860262,0.116182572614108,
Laying hen of 18 weeks and over,1.08,0.2,0.29,0.33,0.03,0.02,0.75,0.39,0.33,0.170305676855895,0.273858921161826,
Turkey,3.1,0.59,0.83,1.39,0.22,0.09,1.71,0.87,0.9,0.379912663755458,0.746887966804979,
Duck,1.5,0.28,0.46,0.74,0.13,0.06,0.76,0.36,0.48,0.157205240174672,0.398340248962656,
Rabbits,11.9,2.4,6.7,4,0.8,0.3,7.9,3.6,7.8,1.57205240174673,6.47302904564315,
Minks,2.8,0.6,0.6,0.3,0.1,0,2.4,1.2,0.7,0.524017467248908,0.580912863070539,
