"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Total supply of cattle","January to June","Head","148","thousands","3","v41123294","1.1.1","18466.3","","","","1"
"2000","Canada","2016A000011124","Total supply of cattle","July to December","Head","148","thousands","3","v41123295","1.1.2","17064.7","","","","1"
"2000","Canada","2016A000011124","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123296","1.2.1","13201.3","","","","1"
"2000","Canada","2016A000011124","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123297","1.2.2","14968.4","","","","1"
"2000","Canada","2016A000011124","Calves born","January to June","Head","148","thousands","3","v41123298","1.3.1","4507.5","","","","1"
"2000","Canada","2016A000011124","Calves born","July to December","Head","148","thousands","3","v41123299","1.3.2","997.3","","","","1"
"2000","Canada","2016A000011124","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123300","1.4.1","640.3","","","","1"
"2000","Canada","2016A000011124","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123301","1.4.2","898.7","","","","1"
"2000","Canada","2016A000011124","International imports of cattle","January to June","Head","148","thousands","3","v41123302","1.5.1","117.2","","","","1"
"2000","Canada","2016A000011124","International imports of cattle","July to December","Head","148","thousands","3","v41123303","1.5.2","200.3","","","","1"
"2000","Canada","2016A000011124","Total disposition of cattle","January to June","Head","148","thousands","3","v41123304","1.6.1","3497.9","","","","1"
"2000","Canada","2016A000011124","Total disposition of cattle","July to December","Head","148","thousands","3","v41123305","1.6.2","3456.5","","","","1"
"2000","Canada","2016A000011124","Slaughter of cattle","January to June","Head","148","thousands","3","v41123306","1.7.1","1923.3","","","","1"
"2000","Canada","2016A000011124","Slaughter of cattle","July to December","Head","148","thousands","3","v41123307","1.7.2","1912.8","","","","1"
"2000","Canada","2016A000011124","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123308","1.8.1","640.3","","","","1"
"2000","Canada","2016A000011124","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123309","1.8.2","898.7","","","","1"
"2000","Canada","2016A000011124","International exports of cattle","January to June","Head","148","thousands","3","v41123310","1.9.1","496.5","","","","1"
"2000","Canada","2016A000011124","International exports of cattle","July to December","Head","148","thousands","3","v41123311","1.9.2","468.3","","","","1"
"2000","Canada","2016A000011124","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123312","1.10.1","437.8","","","","1"
"2000","Canada","2016A000011124","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123313","1.10.2","176.7","","","","1"
"2000","Canada","2016A000011124","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123314","1.11.1","14968.4","","","","1"
"2000","Canada","2016A000011124","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123315","1.11.2","13608.2","","","","1"
"2000","Eastern provinces","","Total supply of cattle","January to June","Head","148","thousands","3","v41123316","2.1.1","4649.4","","","","1"
"2000","Eastern provinces","","Total supply of cattle","July to December","Head","148","thousands","3","v41123317","2.1.2","4511.7","","","","1"
"2000","Eastern provinces","","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123318","2.2.1","3551.3","","","","1"
"2000","Eastern provinces","","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123319","2.2.2","3734.4","","","","1"
"2000","Eastern provinces","","Calves born","January to June","Head","148","thousands","3","v41123320","2.3.1","872.5","","","","1"
"2000","Eastern provinces","","Calves born","July to December","Head","148","thousands","3","v41123321","2.3.2","561.1","","","","1"
"2000","Eastern provinces","","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123322","2.4.1","177.1","","","","1"
"2000","Eastern provinces","","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123323","2.4.2","170.9","","","","1"
"2000","Eastern provinces","","International imports of cattle","January to June","Head","148","thousands","3","v41123324","2.5.1","48.5","","","","1"
"2000","Eastern provinces","","International imports of cattle","July to December","Head","148","thousands","3","v41123325","2.5.2","45.3","","","","1"
"2000","Eastern provinces","","Total disposition of cattle","January to June","Head","148","thousands","3","v41123326","2.6.1","915.0","","","","1"
"2000","Eastern provinces","","Total disposition of cattle","July to December","Head","148","thousands","3","v41123327","2.6.2","892.5","","","","1"
"2000","Eastern provinces","","Slaughter of cattle","January to June","Head","148","thousands","3","v41123328","2.7.1","628.7","","","","1"
"2000","Eastern provinces","","Slaughter of cattle","July to December","Head","148","thousands","3","v41123329","2.7.2","617.1","","","","1"
"2000","Eastern provinces","","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123330","2.8.1","61.3","","","","1"
"2000","Eastern provinces","","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123331","2.8.2","68.7","","","","1"
"2000","Eastern provinces","","International exports of cattle","January to June","Head","148","thousands","3","v41123332","2.9.1","117.8","","","","1"
"2000","Eastern provinces","","International exports of cattle","July to December","Head","148","thousands","3","v41123333","2.9.2","125.9","","","","1"
"2000","Eastern provinces","","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123334","2.10.1","107.2","","","","1"
"2000","Eastern provinces","","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123335","2.10.2","80.8","","","","1"
"2000","Eastern provinces","","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123336","2.11.1","3734.4","","","","1"
"2000","Eastern provinces","","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123337","2.11.2","3619.2","","","","1"
"2000","Atlantic provinces","2016A00011","Total supply of cattle","January to June","Head","148","thousands","3","v41123338","3.1.1","366.7","","","","1"
"2000","Atlantic provinces","2016A00011","Total supply of cattle","July to December","Head","148","thousands","3","v41123339","3.1.2","349.5","","","","1"
"2000","Atlantic provinces","2016A00011","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123340","3.2.1","299.8","","","","1"
"2000","Atlantic provinces","2016A00011","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123341","3.2.2","302.4","","","","1"
"2000","Atlantic provinces","2016A00011","Calves born","January to June","Head","148","thousands","3","v41123342","3.3.1","66.6","","","","1"
"2000","Atlantic provinces","2016A00011","Calves born","July to December","Head","148","thousands","3","v41123343","3.3.2","45.9","","","","1"
"2000","Atlantic provinces","2016A00011","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123344","3.4.1","0.3","","","","1"
"2000","Atlantic provinces","2016A00011","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123345","3.4.2","1.2","","","","1"
"2000","Atlantic provinces","2016A00011","International imports of cattle","January to June","Head","148","thousands","3","v41123346","3.5.1","0.0","","","","1"
"2000","Atlantic provinces","2016A00011","International imports of cattle","July to December","Head","148","thousands","3","v41123347","3.5.2","0.0","","","","1"
