"REF_DATE","GEO","DGUID","Supply and disposition of hogs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Canada","2016A000011124","Total supply of hogs","July to December","Head","148","thousands","3","v1064723026","1.1.2","31021.5","","","","1"
"2007","Canada","2016A000011124","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723028","1.2.2","14880.0","","","","1"
"2007","Canada","2016A000011124","Pig crop","July to December","Head","148","thousands","3","v1064723030","1.3.2","15976.9","","","","1"
"2007","Canada","2016A000011124","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723032","1.4.2","163.7","","","","1"
"2007","Canada","2016A000011124","International imports of hogs","July to December","Head","148","thousands","3","v1064723034","1.5.2","0.9","","","","1"
"2007","Canada","2016A000011124","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363627","1.6.2","16941.5","","","","1"
"2007","Canada","2016A000011124","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723036","1.7.2","163.7","","","","1"
"2007","Canada","2016A000011124","International exports of hogs","July to December","Head","148","thousands","3","v1064723038","1.8.2","5352.6","","","","1"
"2007","Canada","2016A000011124","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723040","1.9.2","821.3","","","","1"
"2007","Canada","2016A000011124","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363629","1.10.2","10603.9","","","","1"
"2007","Canada","2016A000011124","Ending inventory of hogs","July to December","Head","148","thousands","3","v1064723042","1.11.2","14080.0","","","","1"
"2007","Eastern provinces","","Total supply of hogs","July to December","Head","148","thousands","3","v1064723044","2.1.2","16361.2","","","","1"
"2007","Eastern provinces","","Beginning inventory of hogs","July to December","Head","148","thousands","3","v1064723046","2.2.2","8449.0","","","","1"
"2007","Eastern provinces","","Pig crop","July to December","Head","148","thousands","3","v1064723048","2.3.2","7815.3","","","","1"
"2007","Eastern provinces","","Interprovincial imports of hogs","July to December","Head","148","thousands","3","v1064723050","2.4.2","96.4","","","","1"
"2007","Eastern provinces","","International imports of hogs","July to December","Head","148","thousands","3","v1064723052","2.5.2","0.5","","","","1"
"2007","Eastern provinces","","Total disposition of hogs","July to December","Head","148","thousands","3","v1066363631","2.6.2","8270.2","","","","1"
"2007","Eastern provinces","","Interprovincial exports of hogs","July to December","Head","148","thousands","3","v1064723054","2.7.2","80.9","","","","1"
"2007","Eastern provinces","","International exports of hogs","July to December","Head","148","thousands","3","v1064723056","2.8.2","1223.6","","","","1"
"2007","Eastern provinces","","Deaths and condemnations of hogs","July to December","Head","148","thousands","3","v1064723058","2.9.2","405.1","","","","1"
"2007","Eastern provinces","","Other disposition of hogs","July to December","Head","148","thousands","3","v1066363633","2.10.2","6560.6","","","","1"
