"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Total supply of sheep and lambs","January to June","Head","148","thousands","3","v44184511","1.1.1","1535.6","","","","1"
"2000","Canada","2016A000011124","Total supply of sheep and lambs","July to December","Head","148","thousands","3","v44184771","1.1.2","1332.3","","","","1"
"2000","Canada","2016A000011124","Beginning inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184512","1.2.1","793.0","","","","1"
"2000","Canada","2016A000011124","Beginning inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184772","1.2.2","1105.3","","","","1"
"2000","Canada","2016A000011124","Lambs born","January to June","Head","148","thousands","3","v44184513","1.3.1","711.9","","","","1"
"2000","Canada","2016A000011124","Lambs born","July to December","Head","148","thousands","3","v44184773","1.3.2","217.6","","","","1"
"2000","Canada","2016A000011124","Interprovincial imports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184514","1.4.1","0.0","","","t","1"
"2000","Canada","2016A000011124","Interprovincial imports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184774","1.4.2","0.0","","","t","1"
"2000","Canada","2016A000011124","International imports of sheep and lambs","January to June","Head","148","thousands","3","v44184515","1.5.1","2.4","","","","1"
"2000","Canada","2016A000011124","International imports of sheep and lambs","July to December","Head","148","thousands","3","v44184775","1.5.2","0.4","","","","1"
"2000","Canada","2016A000011124","Total disposition of sheep and lambs","January to June","Head","148","thousands","3","v44184516","1.6.1","430.3","","","","1"
"2000","Canada","2016A000011124","Total disposition of sheep and lambs","July to December","Head","148","thousands","3","v44184776","1.6.2","384.5","","","","1"
"2000","Canada","2016A000011124","Deaths and condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184517","1.7.1","68.8","","","","1"
"2000","Canada","2016A000011124","Deaths and condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184777","1.7.2","45.2","","","","1"
"2000","Canada","2016A000011124","Deaths, sheep","January to June","Head","148","thousands","3","v44184518","1.8.1","8.6","","","","1"
"2000","Canada","2016A000011124","Deaths, sheep","July to December","Head","148","thousands","3","v44184778","1.8.2","28.0","","","","1"
"2000","Canada","2016A000011124","Deaths, lambs","January to June","Head","148","thousands","3","v44184519","1.9.1","59.0","","","","1"
"2000","Canada","2016A000011124","Deaths, lambs","July to December","Head","148","thousands","3","v44184779","1.9.2","15.9","","","","1"
"2000","Canada","2016A000011124","Condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184520","1.10.1","1.2","","","","1"
"2000","Canada","2016A000011124","Condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184780","1.10.2","1.3","","","","1"
"2000","Canada","2016A000011124","Interprovincial exports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184521","1.11.1","0.0","","","t","1"
"2000","Canada","2016A000011124","Interprovincial exports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184781","1.11.2","0.0","","","t","1"
"2000","Canada","2016A000011124","International exports of sheep and lambs","January to June","Head","148","thousands","3","v44184522","1.12.1","29.2","","","","1"
"2000","Canada","2016A000011124","International exports of sheep and lambs","July to December","Head","148","thousands","3","v44184782","1.12.2","22.5","","","","1"
"2000","Canada","2016A000011124","Total slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184523","1.13.1","304.0","","","","1"
"2000","Canada","2016A000011124","Total slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184783","1.13.2","307.8","","","","1"
"2000","Canada","2016A000011124","Federal Provincial Inspected Slaughter (FPIS)","January to June","Head","148","thousands","3","v44184524","1.14.1","186.3","","","","1"
"2000","Canada","2016A000011124","Federal Provincial Inspected Slaughter (FPIS)","July to December","Head","148","thousands","3","v44184784","1.14.2","195.1","","","","1"
"2000","Canada","2016A000011124","International imports for slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184525","1.15.1","0.0","","","","1"
"2000","Canada","2016A000011124","International imports for slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184785","1.15.2","0.0","","","","1"
"2000","Canada","2016A000011124","Provincially inspected slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184526","1.16.1","4.5","","","","1"
"2000","Canada","2016A000011124","Provincially inspected slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184786","1.16.2","14.4","","","","1"
