"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Field crops and hay, Census of Agriculture, 2021","32100309",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210030901",1;2,"CURRENT - a cube available to the public and that is current","Every 5 years","2021-01-01","2021-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",3;4;5,""
"2","Field crops and hay",,""
"3","Unit of measure",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Alberta [PR480000000]","[48]","1841","1","",,
"1","British Columbia [PR590000000]","[59]","1941","1","",,
"1","Manitoba [PR460000000]","[46]","1377","1","",,
"1","Newfoundland and Labrador [PR100000000]","[10]","2","1","",,
"1","Prince Edward Island [PR110000000]","[11]","37","1","",,
"1","Nova Scotia [PR120000000]","[12]","78","1","",,
"1","Saskatchewan [PR470000000]","[47]","1518","1","",,
"1","New Brunswick [PR130000000]","[13]","141","1","",,
"1","Quebec [PR240000000]","[24]","248","1","",,
"1","Ontario [PR350000000]","[35]","1049","1","",,
"1","Census Agricultural Region 1, Newfoundland and Labrador [CAR100100000]","[1001]","3","2","",,
"1","Census Agricultural Region 2, Newfoundland and Labrador [CAR100200000]","[1002]","13","2","",,
"1","Census Agricultural Region 3, Newfoundland and Labrador [CAR100300000]","[1003]","24","2","",,
"1","Division No.  1, Newfoundland and Labrador [CD100101000]","[1001]","4","3","",,
"1","Division No.  2, Newfoundland and Labrador [CD100102000]","[1002]","11","3","",,
"1","Division No.  1, Subd. C, Newfoundland and Labrador [CCS100101214]","[1001214]","5","4","",,
"1","Division No.  1, Subd. A, Newfoundland and Labrador [CCS100101259]","[1001259]","6","4","",,
"1","Division No.  1, Subd. E, Newfoundland and Labrador [CCS100101304]","[1001304]","7","4","",,
"1","Division No.  1, Subd. H, Newfoundland and Labrador [CCS100101357]","[1001357]","8","4","",,
"1","Holyrood, Newfoundland and Labrador [CCS100101472]","[1001472]","9","4","",,
"1","St. John's, Newfoundland and Labrador [CCS100101519]","[1001519]","10","4","",,
"1","Division No.  2, Subd. E, Newfoundland and Labrador [CCS100102001]","[1002001]","12","11","",,
"1","Division No.  3, Newfoundland and Labrador [CD100203000]","[1003]","14","13","",,
"1","Division No.  6, Newfoundland and Labrador [CD100206000]","[1006]","16","13","",,
"1","Division No.  7, Newfoundland and Labrador [CD100207000]","[1007]","18","13","",,
"1","Division No.  8, Newfoundland and Labrador [CD100208000]","[1008]","21","13","",,
"1","Division No.  3, Subd. A, Newfoundland and Labrador [CCS100203001]","[1003001]","15","14","",,
"1","Division No.  6, Subd. C, Newfoundland and Labrador [CCS100206014]","[1006014]","17","16","",,
"1","Division No.  7, Subd. F, Newfoundland and Labrador [CCS100207028]","[1007028]","19","18","",,
"1","Division No.  7, Subd. E, Newfoundland and Labrador [CCS100207031]","[1007031]","20","18","",,
"1","Division No.  8, Subd. G, Newfoundland and Labrador [CCS100208036]","[1008036]","22","21","",,
"1","Division No.  8, Subd. C, Newfoundland and Labrador [CCS100208058]","[1008058]","23","21","",,
