Livestock type,Wa,OM,N_tot,P_tot,Ca_tot,K_tot,Rest,Ninorg_Ntot_ratio,Norg_Ntot_ratio,Pinorg_Ptot_ratio,Porg_Ptot_ratio,Caion_Ca_ratio,Kion_K_ratio,C_OM_ratio,Weight_UstonperyearperAU,Weight_kgperdayperAU,AU_equivalence
DairyCow,87,10.9803921568627,0.588235294117647,0.082352941176471,0.117,0.196078431372549,7.3716274509804,0.59,0.41,0.54,0.46,0.154,1,0.423011266643906,15.24,37.8787,0.74
DairyHeifer,83,13.0357142857143,0.482142857142857,0.089285714285714,0.117,0.214285714285714,10.5831785714286,0.59,0.41,0.54,0.46,0.154,1,0.423011266643906,12.05,29.95,0.94
DairyCalf,83,9.27710843373494,0.506024096385542,0.060240963855422,0.117,0.132530120481928,12.2599879518072,0.59,0.41,0.54,0.46,0.154,1,0.423011266643906,12.05,29.95,4
BeefCow,88,10.5769230769231,0.336538461538462,0.076923076923077,0.117,0.240384615384615,6.75511538461538,0.59,0.41,0.54,0.46,0.154,1,0.423011266643906,10.59,28.583,1
BeefCalf,88,10,0.584415584415584,0.103896103896104,0.117,0.376623376623377,6.58806493506494,0.59,0.41,0.54,0.46,0.154,1,0.423011266643906,11.32,28.1356,4
SwineMature,90,9.15254237288136,0.76271186440678,0.220338983050847,-,0.474576271186441,-,0.61,0.39,0.58,0.42,,,,6.11,15.1859446575343,2.67
SwineInmature,90,8.30769230769231,0.830769230769231,0.138461538461538,-,0.369230769230769,-,0.61,0.39,0.58,0.42,,,,14.69,36.5108882191781,9.09
ChickensLayers,75,19.2982456140351,1.92982456140351,0.578947368421053,-,0.68421052631579,-,0.57,0.43,0.57,0.43,,,,11.45,28.4581123287671,250
ChickensPullets,75,19.2982456140351,1.92982456140351,0.578947368421053,-,0.68421052631579,-,0.57,0.43,0.57,0.43,,,,8.32,20.6787331506849,455
ChickensBroilers,75,19.0909090909091,1.09090909090909,0.318181818181818,-,0.618181818181818,-,0.57,0.43,0.57,0.43,,,,14.97,37.2068071232877,455
TurkeysMature,74,20.4166666666667,1.5,0.416666666666667,-,0.645833333333333,-,0.6,0.4,0.6,0.4,,,,9.12,22.6670728767123,50
TurkeysInmature,74,20.4166666666667,1.5,0.416666666666667,-,0.645833333333333,-,0.6,0.4,0.6,0.4,,,,8.18,20.3307736986301,67
Sheep,75,20.75,1.125,0.175,-,0.75,-,0.49,0.51,0.49,0.51,,,,7.3,18.16,5
Lamb,75,20.75,1.125,0.175,-,0.75,-,0.49,0.51,0.49,0.51,,,,7.3,18.16,7.14
Mink,54,45.8,3.28,1.82,-,0.79,,0.43,0.567,0.5,0.5,,,,,42.7395,150
Horses,85,11.9230769230769,0.596153846153846,0.126923076923077,-,0.365384615384615,,0.0588,0.941,0.47,0.53,,,,,23.381,0.91
Rabbits,54,46,1.22,0.87,,0.57,,0.098,0.902,,,,,,,51.64,50
Goat,68.8,31.2,1.0608,0.36504,,1.0296,,0.382,0.617,0.41,0.59,,,,,20.94,5.88
Llamas/alpacas,69,31,0.705,0.375,,0.24,,0.1081,0.8918,,,,,,,12.485,3.5
Bison,78.9,21.1,0.4,0.07,,0.07,,0.075,0.925,,,,,,,44.877,0.91
Elk,69.5,30.5,0.73,0.2,,0.24,,0.082,0.918,,,,,,,Not available,1.54
Deer (excluding wild deer),,,,,,,,,,,,,,,,Not available,Not available
Wild boars,,,,,,,,,,,,,,,,Not available,Not available
