,DGUID,CD,Eggs (number),Eggs (kg P)
1,2021A00032456,2456,0.0,0.0
5,2021A00032439,2439,0.0,0.0
9,2021A00032460,2460,21759360.0,2200.959264
13,2021A00032472,2472,0.0,0.0
17,2021A00032470,2470,0.0,0.0
21,2021A00032407,2407,15339984.0,1551.6393816
25,2021A00032498,2498,0.0,0.0
29,2021A00032484,2484,0.0,0.0
33,2021A00032461,2461,0.0,0.0
37,2021A00032473,2473,0.0,0.0
41,2021A00032495,2495,0.0,0.0
45,2021A00032496,2496,0.0,0.0
49,2021A00032412,2412,0.0,0.0
53,2021A00032463,2463,26514108.0,2681.9020242
57,2021A00032418,2418,0.0,0.0
61,2021A00032445,2445,0.0,0.0
65,2021A00032437,2437,0.0,0.0
69,2021A00032450,2450,112521504.0,11381.5501296
73,2021A00032476,2476,0.0,0.0
77,2021A00032481,2481,0.0,0.0
81,2021A00032479,2479,13083372.0,1323.3830778000001
85,2021A00032477,2477,0.0,0.0
89,2021A00032452,2452,15904992.0,1608.7899408
93,2021A00032491,2491,0.0,0.0
97,2021A00032458,2458,0.0,0.0
101,2021A00032416,2416,15001848.0,1517.4369252000001
105,2021A00032415,2415,0.0,0.0
109,2021A00032425,2425,0.0,0.0
113,2021A00032406,2406,0.0,0.0
117,2021A00032485,2485,0.0,0.0
121,2021A00032465,2465,0.0,0.0
125,2021A00032403,2403,0.0,0.0
129,2021A00032446,2446,152909148.0,15466.760320200001
133,2021A00032408,2408,0.0,0.0
137,2021A00032441,2441,0.0,0.0
141,2021A00032497,2497,0.0,0.0
145,2021A00032440,2440,0.0,0.0
149,2021A00032499,2499,0.0,0.0
153,2021A00032422,2422,0.0,0.0
157,2021A00032464,2464,0.0,0.0
161,2021A00032448,2448,0.0,0.0
165,2021A00032490,2490,0.0,0.0
169,2021A00032454,2454,290082876.0,29341.882907400002
173,2021A00032421,2421,4639860.0,469.321839
177,2021A00032404,2404,0.0,0.0
181,2021A00032438,2438,0.0,0.0
185,2021A00032426,2426,129636384.0,13112.7202416
189,2021A00032444,2444,0.0,0.0
193,2021A00032429,2429,0.0,0.0
197,2021A00032433,2433,0.0,0.0
201,2021A00032459,2459,0.0,0.0
205,2021A00032474,2474,0.0,0.0
209,2021A00032430,2430,0.0,0.0
213,2021A00032469,2469,0.0,0.0
217,2021A00032455,2455,107136240.0,10836.830676000001
221,2021A00032410,2410,0.0,0.0
225,2021A00032457,2457,39966264.0,4042.5876036000004
229,2021A00032494,2494,15907644.0,1609.0581906
233,2021A00032420,2420,5391600.0,545.3603400000001
237,2021A00032482,2482,0.0,0.0
241,2021A00032413,2413,0.0,0.0
245,2021A00032468,2468,0.0,0.0
249,2021A00032411,2411,0.0,0.0
253,2021A00032449,2449,230979408.0,23363.5671192
257,2021A00032417,2417,0.0,0.0
261,2021A00032467,2467,0.0,0.0
265,2021A00032486,2486,0.0,0.0
269,2021A00032489,2489,50809800.0,5139.4112700000005
273,2021A00032409,2409,0.0,0.0
277,2021A00032402,2402,0.0,0.0
281,2021A00032431,2431,0.0,0.0
285,2021A00032401,2401,2919996.0,295.35759540000004
289,2021A00032466,2466,0.0,0.0
293,2021A00032462,2462,0.0,0.0
297,2021A00032487,2487,0.0,0.0
301,2021A00032432,2432,0.0,0.0
305,2021A00032493,2493,55513488.0,5615.189311200001
309,2021A00032435,2435,0.0,0.0
313,2021A00032492,2492,0.0,0.0
317,2021A00032427,2427,0.0,0.0
321,2021A00032436,2436,0.0,0.0
325,2021A00032488,2488,0.0,0.0
329,2021A00032453,2453,43827564.0,4433.1580986
333,2021A00032414,2414,0.0,0.0
337,2021A00032483,2483,0.0,0.0
341,2021A00032442,2442,0.0,0.0
345,2021A00032447,2447,0.0,0.0
349,2021A00032471,2471,132880320.0,13440.844368
353,2021A00032478,2478,0.0,0.0
357,2021A00032419,2419,68687028.0,6947.6928822
361,2021A00032428,2428,0.0,0.0
365,2021A00032405,2405,0.0,0.0
369,2021A00032434,2434,0.0,0.0
373,2021A00032443,2443,0.0,0.0
377,2021A00032451,2451,0.0,0.0
381,2021A00032423,2423,0.0,0.0
385,2021A00032475,2475,0.0,0.0
389,2021A00032480,2480,0.0,0.0
