DGUID,CD,REF_DATE,Animal,kg P live,kg P carcass,kg P slaugther waste
2021A00032401,2401,2021,Hogs,0.0,0.0,0.0
2021A00032401,2401,2021,Sheep,0.0,0.0,0.0
2021A00032401,2401,2021,Goat,0.0,0.0,0.0
2021A00032401,2401,2021,Calves,0.0,0.0,0.0
2021A00032401,2401,2021,Cattle,0.0,0.0,0.0
2021A00032401,2401,2021,Chicken,0.0,0.0,0.0
2021A00032401,2401,2021,Turkey,0.0,0.0,0.0
2021A00032401,2401,2021,Rabbit,0.0,0.0,0.0
2021A00032402,2402,2021,Hogs,0.0,0.0,0.0
2021A00032402,2402,2021,Sheep,0.0,0.0,0.0
2021A00032402,2402,2021,Goat,0.0,0.0,0.0
2021A00032402,2402,2021,Calves,0.0,0.0,0.0
2021A00032402,2402,2021,Cattle,0.0,0.0,0.0
2021A00032402,2402,2021,Chicken,0.0,0.0,0.0
2021A00032402,2402,2021,Turkey,0.0,0.0,0.0
2021A00032402,2402,2021,Rabbit,0.0,0.0,0.0
2021A00032403,2403,2021,Hogs,0.0,0.0,0.0
2021A00032403,2403,2021,Sheep,0.0,0.0,0.0
2021A00032403,2403,2021,Goat,0.0,0.0,0.0
2021A00032403,2403,2021,Calves,0.0,0.0,0.0
2021A00032403,2403,2021,Cattle,0.0,0.0,0.0
2021A00032403,2403,2021,Chicken,0.0,0.0,0.0
2021A00032403,2403,2021,Turkey,0.0,0.0,0.0
2021A00032403,2403,2021,Rabbit,0.0,0.0,0.0
2021A00032404,2404,2021,Hogs,0.0,0.0,0.0
2021A00032404,2404,2021,Sheep,0.0,0.0,0.0
2021A00032404,2404,2021,Goat,0.0,0.0,0.0
2021A00032404,2404,2021,Calves,0.0,0.0,0.0
2021A00032404,2404,2021,Cattle,0.0,0.0,0.0
2021A00032404,2404,2021,Chicken,0.0,0.0,0.0
2021A00032404,2404,2021,Turkey,0.0,0.0,0.0
2021A00032404,2404,2021,Rabbit,0.0,0.0,0.0
2021A00032405,2405,2021,Hogs,0.0,0.0,0.0
2021A00032405,2405,2021,Sheep,0.0,0.0,0.0
2021A00032405,2405,2021,Goat,0.0,0.0,0.0
2021A00032405,2405,2021,Calves,0.0,0.0,0.0
2021A00032405,2405,2021,Cattle,0.0,0.0,0.0
2021A00032405,2405,2021,Chicken,0.0,0.0,0.0
