CD,BeefCow (kg P feed/year),BeefCalf (kg P feed/year),DairyCow (kg P feed/year),DairyHeifer (kg P feed/year),SwineInmature (kg P feed/year),SwineMature (kg P feed/year),Sheep (kg P feed/year),Lamb (kg P feed/year),ChickensBroilers (kg P feed/year),ChickensPullets (kg P feed/year),ChickensLayers (kg P feed/year),TurkeysMature (kg P feed/year),Mink (kg P feed/year),Rabbits (kg P feed/year),Goat (kg P feed/year)
2401,0.0,0.0,2425.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0
2402,4665.6,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,18806.4,5416.599999999999,4581.5,702.0,0.0,0.0,4740.0,4817.5,0.0,0.0,0.0,0.0,0.0,0.0,740.0
2406,23371.2,4987.3,12450.9,3737.5,0.0,0.0,3385.0,2862.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,47836.8,16896.399999999998,97424.25,15476.5,0.0,0.0,0.0,0.0,5740.118,0.0,0.0,0.0,0.0,0.0,0.0
2408,28670.4,7552.5,53684.4,9152.0,0.0,3722.2000000000003,7392.5,6900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2409,28396.8,12667.0,104377.34999999999,12402.0,20670.0,13112.800000000001,27492.5,21970.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.0
2410,11836.800000000001,14251.699999999999,148467.55,18024.5,70839.59999999999,17952.4,13200.0,13965.0,0.0,0.0,5059.200000000001,0.0,0.0,0.0,0.0
2411,7502.400000000001,7176.2,90390.3,8242.0,32549.399999999998,8676.5,6337.5,5257.5,0.0,0.0,0.0,0.0,0.0,0.0,1864.0
2412,36820.8,19795.5,168168.0,16893.5,112347.3,0.0,15590.0,12782.5,0.0,0.0,6101.400000000001,0.0,0.0,0.0,1592.0
2413,15782.4,11946.199999999999,75729.5,8697.0,0.0,0.0,5660.0,5525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,38016.0,30310.7,341375.64999999997,36686.0,80242.5,12520.800000000001,6482.5,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,4436.0
2415,13248.0,3588.1,7950.25,1261.0,82531.8,9449.800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,14688.0,4955.5,12262.25,2073.5,105159.59999999999,11732.7,4172.5,3275.0,41719.11520000001,3091.1440000000002,10317.2,0.0,0.0,0.0,1668.0
2417,31435.2,15815.199999999999,130545.8,13110.5,0.0,0.0,2777.5,2452.5,95413.69680000002,2820.436,0.0,0.0,0.0,0.0,0.0
2418,6681.6,10234.3,121436.7,13039.0,61542.0,18185.5,0.0,0.0,3931.440400000001,0.0,0.0,0.0,0.0,0.0,0.0
2419,48398.4,53286.2,426295.1,43660.5,778869.0,93458.3,100.0,2190.0,93611.72400000002,7315.304000000001,20950.2,20180.36,0.0,16406.399999999998,8372.0
2420,0.0,0.0,24066.35,1560.0,0.0,0.0,0.0,0.0,582.2772000000001,0.0,0.0,15104.0,0.0,0.0,1928.0
2421,5184.0,0.0,8273.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21854.2956,0.0,0.0,80546.8,0.0,0.0,0.0
2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,9028.800000000001,5755.8,25791.149999999998,3685.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2426,149832.0,43550.1,292757.85,27911.0,1086029.0999999999,83842.0,9182.5,5192.5,239772.5492,8060.244000000001,21615.600000000002,12194.119999999999,0.0,0.0,0.0
2427,68760.0,33543.7,217351.75,20793.5,669314.1,22477.5,2507.5,1815.0,38406.944,0.0,0.0,0.0,0.0,0.0,0.0
2428,23846.4,12545.1,30669.1,4394.0,102246.3,13068.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,63187.200000000004,21989.7,183125.25,19617.0,113408.09999999999,0.0,2805.0,3190.0,38248.572,3229.5240000000003,19283.8,24780.0,0.0,0.0,0.0
2430,23011.2,20723.0,146500.19999999998,19227.0,111933.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,60408.0,26542.399999999998,171482.85,18382.0,318988.8,46897.5,0.0,0.0,0.0,0.0,0.0,0.0,323.4,0.0,0.0
2432,79142.40000000001,49555.0,256402.3,28613.0,399980.1,36826.1,8020.0,5225.0,0.0,3706.6800000000003,0.0,0.0,0.0,0.0,8268.0
2433,99604.8,51611.4,396757.89999999997,45396.0,686887.5,60839.100000000006,7812.5,5565.0,31922.362000000005,0.0,0.0,0.0,0.0,0.0,0.0
2434,18331.2,22821.8,149168.25,15743.0,44456.1,8313.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3488.0
2435,0.0,6858.2,49291.549999999996,4504.5,15268.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25099.2,1884.0
2436,3297.6,0.0,5794.25,812.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,14284.800000000001,11320.8,156795.1,19773.0,93213.9,9379.5,0.0,0.0,18417.1608,0.0,0.0,0.0,0.0,0.0,0.0
2438,11304.0,22752.899999999998,214656.75,19396.0,199192.5,41103.3,5402.5,3177.5,52631.98640000001,0.0,0.0,0.0,0.0,0.0,0.0
2439,45748.8,69684.4,561152.9,65572.0,366085.2,0.0,13910.0,10672.5,54450.83680000001,29211.780000000006,0.0,4989.04,0.0,0.0,6588.0
2440,22824.0,12115.8,92869.7,10439.0,165547.19999999998,40207.9,6792.5,4410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,85507.2,24936.5,109686.5,17680.0,103708.8,20498.0,10292.5,10210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
