DGUID,Alfalfa and alfalfa mixtures (m2),All other tame hay and fodder crops (m2),Barley (m2),Buckwheat (m2),Canary seed (m2),Canola (rapeseed) (m2),Chick peas (m2),Corn for grain (m2),Corn for silage (m2),Dry field peas (m2),Dry white beans (m2),Faba beans (m2),Flaxseed (m2),Forage seed to be harvested for seed (m2),Hemp (m2),Lentils (m2),Mixed grains (m2),Oats (m2),Other dry beans (m2),Other field crops (m2),Potatoes (m2),"Rye, total (m2)",Soybeans (m2),Sugar beets (m2),Sunflower seed (m2),Triticale (m2),"Wheat, total (m2)",year,CD,Total wheat (Grain kg),Total wheat (Straw/Stover kg),Total wheat (Grain kg P),Total wheat (Straw/Stover kg P),Total wheat (Total kg P),Oats (Grain kg),Oats (Straw/Stover kg),Oats (Grain kg P),Oats (Straw/Stover kg P),Oats (Total kg P),Barley (Grain kg),Barley (Straw/Stover kg),Barley (Grain kg P),Barley (Straw/Stover kg P),Barley (Total kg P),Corn for grain (Grain kg),Corn for ethanol (Ethanol kg),Corn for grain (Straw/Stover kg),Corn for grain (Grain kg P),Corn for ethanol (Ethanol kg P),Corn for grain (Straw/Stover kg P),Corn for grain (Total kg P),Corn for ethanol (Total kg P),Corn for silage (Silage kg),Corn for silage (Silage kg P),Corn for silage (Total kg P),Total rye (Grain kg),Total rye (Straw/Stover kg),Total rye (Grain kg P),Total rye (Straw/Stover kg P),Total rye (Total kg P),Canola (rapeseed) (Grain kg),Canola (rapeseed) (Straw/Stover kg),Canola (rapeseed) (Grain kg P),Canola (rapeseed) (Straw/Stover kg P),Canola (rapeseed) (Total kg P),Soybeans (Grain kg),Soybeans (Straw/Stover kg),Soybeans (Grain kg P),Soybeans (Straw/Stover kg P),Soybeans (Total kg P),Dry white beans (Vegetable kg),Dry white beans (Vegetable kg P),Dry white beans (Total kg P),Other dry beans (Vegetable kg),Other dry beans (Vegetable kg P),Other dry beans (Total kg P),Faba beans (Vegetable kg),Faba beans (Vegetable kg P),Faba beans (Total kg P),Alfalfa and alfalfa mixtures (Forage kg),Alfalfa and alfalfa mixtures (Forage kg P),Alfalfa and alfalfa mixtures (Total kg P),All other tame hay and fodder crops (Forage kg),All other tame hay and fodder crops (Forage kg P),All other tame hay and fodder crops (Total kg P),Forage seed for seed  (Forage kg),Forage seed for seed  (Forage kg P),Forage seed for seed  (Total kg P),Potatoes  (Vegetable kg),Potatoes  (Vegetable kg P),Potatoes  (Total kg P),Dry field peas  (Vegetable kg),Dry field peas  (Vegetable kg P),Dry field peas  (Total kg P),Sunflowers (Grain kg),Sunflowers (Straw/Stover kg),Sunflowers (Grain kg P),Sunflowers (Straw/Stover kg P),Sunflowers (Total kg P),Buckwheat (Grain kg),Buckwheat (Straw/Stover kg),Buckwheat (Grain kg P),Buckwheat (Straw/Stover kg P),Buckwheat (Total kg P),Sugar beets  (Beet kg),Sugar beets  (Beet kg P),Sugar beets  (Total kg P),Triticale (Grain kg),Triticale (Straw/Stover kg),Triticale (Grain kg P),Triticale (Straw/Stover kg P),Triticale (Total kg P),Lentils (Grain kg),Lentils (Straw/Stover kg),Lentils (Grain kg P),Lentils (Straw/Stover kg P),Lentils  (Total kg P),Chickpeas (Grain kg),Chickpeas (Straw/Stover kg),Chickpeas (Grain kg P),Chickpeas (Straw/Stover kg P),Chickpeas  (Total kg P),Hemp (Grain kg),Hemp (Straw/Stover kg),Hemp (Grain kg P),Hemp (Straw/Stover kg P),Hemp  (Total kg P),Flaxseed  (Grain kg),Flaxseed (Straw/Stover kg),Flaxseed  (Grain kg P),Flaxseed (Straw/Stover kg P),Flaxseed  (Total kg P),Forage seed for seed (Forage kg),Forage seed for seed (Forage kg P),Forage seed for seed (Total kg P),Potatoes (Vegetable kg),Potatoes (Vegetable kg P),Potatoes (Total kg P),Dry field peas (Vegetable kg),Dry field peas (Vegetable kg P),Dry field peas (Total kg P),Sugar beets (Beet kg),Sugar beets (Beet kg P),Sugar beets (Total kg P),Lentils (Total kg P),Chickpeas (Total kg P),Hemp (Total kg P),Flaxseed (Grain kg),Flaxseed (Grain kg P),Flaxseed (Total kg P)
2021A00032401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032402,2720000.0,5160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2438967.9702287703,5365.729534503294,5365.729534503294,4626865.7082281085,10179.104558101839,10179.104558101839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032403,0.0,1160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040148.104950505,2288.325830891111,2288.325830891111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032404,0.0,4470000.0,0.0,900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4008156.9216627213,8817.945227657987,8817.945227657987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115725.44346975184,80701.14607374607,358.74887475623075,40.35057303687304,399.09944779310376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26300.0,64520.0,165.69,135.492,301.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.182,0.0,0.0,0.0
2021A00032405,9710000.0,25720000.0,2870000.0,0.0,0.0,0.0,0.0,0.0,0.0,1740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8110000.0,0.0,650000.0,3170000.0,0.0,0.0,0.0,0.0,0.0,2340000.0,2021,2405,848209.395808108,1059606.047948286,5258.89825401027,741.7242335638002,6000.62248757407,2327062.3810065086,3636034.9703226704,7912.01209542213,5817.655952516273,13729.668047938403,1031446.7280449533,862112.4099178129,3506.9188753528415,948.3236509095941,4455.242526262436,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8706756.981956381,19154.865360304037,19154.865360304037,23062594.18907499,50737.70721596498,50737.70721596498,0.0,0.0,0.0,27508039237.532307,16504823.542519383,16504823.542519383,1794255481.0396209,7177021.924158484,7177021.924158484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27508039237.532307,16504823.542519383,16504823.542519383,1794255481.0396209,7177021.924158484,7177021.924158484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032406,5390000.0,31190000.0,3580000.0,0.0,0.0,2350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,2021,2406,579972.2364499883,724516.9558620758,3595.827865989928,507.1618691034531,4102.989735093381,883767.2174476013,1380886.2772618772,3004.8085393218444,2209.4180436190036,5214.226582940848,1286612.9917773285,1075387.6054027074,4374.484172042918,1182.9263659429782,5557.410537985896,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545237.1181607468,1870136.9753339621,4307.3732334699,8041.588993936037,12348.962227405937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833101.97041657,10632.824334916453,10632.824334916453,27967430.51155711,61528.347125425644,61528.347125425644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032407,63570000.0,77170000.0,16150000.0,1900000.0,0.0,4610000.0,0.0,0.0,3610000.0,1040000.0,0.0,0.0,0.0,0.0,0.0,0.0,3120000.0,19040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740000.0,9170000.0,2021,2407,3323965.880153996,4152387.803284522,20608.588456954774,2906.671462299166,23515.259919253942,5463288.253312444,8536387.895800695,18575.180061262312,13658.220633281113,32233.400694543423,5804134.027151914,4851259.728283163,19734.05569231651,5336.38570111148,25070.441393427987,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,5664772.114676564,14161.93028669141,14161.93028669141,0.0,0.0,0.0,0.0,0.0,1069592.8147749119,3668651.6835274748,8449.783236721803,15775.202239168142,24224.985475889946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57001909.51008931,125404.20092219647,125404.20092219647,69196749.36123316,152232.84859471294,152232.84859471294,0.0,0.0,0.0,0.0,0.0,0.0,1072428563.3800032,4289714.253520013,4289714.253520013,0.0,0.0,0.0,0.0,0.0,244309.26954725388,170369.08615568615,757.3587355964869,85.18454307784309,842.5432786743299,0.0,0.0,0.0,268237.1593581196,335089.0920862101,1663.0703880203414,234.56236446034708,1897.6327524806884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072428563.3800032,4289714.253520013,4289714.253520013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032408,43260000.0,34160000.0,9660000.0,530000.0,0.0,1510000.0,0.0,0.0,3130000.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,1780000.0,4680000.0,0.0,0.0,0.0,3760000.0,0.0,0.0,10000.0,620000.0,3010000.0,2021,2408,1091072.7698215407,1362997.5232155302,6764.651172893553,954.0982662508712,7718.749439144424,1342867.0706671344,2098229.7979173977,4565.748040268257,3357.1676766678365,7922.915716936093,3471698.743175696,2901744.208991663,11803.775726797367,3191.9186298908294,14995.694356688196,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,4911561.417988268,12278.90354497067,12278.90354497067,1300393.160809121,2326345.037485853,3381.022218103715,2791.614044983023,6172.636263086739,350343.85039265006,1201662.4820230992,2767.7164181019352,5167.148672699326,7934.865090801261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38790350.87944728,85338.77193478402,85338.77193478402,30630568.33199073,67387.25033037961,67387.25033037961,0.0,0.0,0.0,0.0,0.0,0.0,288730767.063847,1154923.0682553882,1154923.0682553882,1232.9341761266758,8966.794008194009,21.083174411766155,16.140229214749215,37.22340362651537,68149.42782107608,47524.008243428245,211.26322624533586,23.76200412171412,235.02523036704997,0.0,0.0,0.0,224739.24162437048,280750.32039655437,1393.383298071097,196.52522427758805,1589.908522348685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288730767.063847,1154923.0682553882,1154923.0682553882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032409,69640000.0,76960000.0,15440000.0,1870000.0,0.0,5500000.0,0.0,0.0,7910000.0,1780000.0,0.0,0.0,130000.0,0.0,0.0,30000.0,1350000.0,10990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430000.0,11540000.0,2021,2409,4183049.755395541,5225578.544155222,25934.908483452353,3657.904980908656,29592.81346436101,3153442.116801668,4927253.307502607,10721.703197125671,7883.605292004171,18605.308489129842,5548967.76341954,4637984.532798269,18866.49039562644,5101.782986078096,23968.273381704534,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,12412284.605842555,31030.711514606388,31030.711514606388,0.0,0.0,0.0,0.0,0.0,1276086.8722911095,4376916.325249699,10081.086291099766,18820.740198573705,28901.82648967347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62444753.473063074,137378.45764073878,137378.45764073878,69008446.68706109,151818.5827115344,151818.5827115344,0.0,0.0,0.0,0.0,0.0,0.0,1835502733.4773133,7342010.933909254,7342010.933909254,0.0,0.0,0.0,0.0,0.0,240451.75476492883,167679.04795322794,745.4004397712794,83.83952397661398,829.2399637478934,0.0,0.0,0.0,155867.53854593437,194713.93188793288,966.378738984793,136.29975232155303,1102.6784913063461,2712.0,3807.0000000000005,10.847999999999999,6.281550000000001,17.129550000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20774.0,41548.0,105.9474,155.38952,261.33692,0.0,0.0,0.0,0.0,0.0,0.0,1835502733.4773133,7342010.933909254,7342010.933909254,0.0,0.0,0.0,17.129550000000002,0.0,0.0,20774.0,105.9474,261.33692
2021A00032410,84720000.0,50350000.0,12490000.0,0.0,0.0,2560000.0,0.0,0.0,13010000.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0,3580000.0,4330000.0,0.0,0.0,0.0,2080000.0,0.0,0.0,0.0,0.0,9120000.0,2021,2410,3305841.747764934,4129746.6484138323,20496.21883614259,2890.822653889683,23387.041490032272,1242438.9777753616,1941310.9027740026,4224.2925244362295,3106.097444438404,7330.389968874633,4488769.907066713,3751841.1149384957,15261.817684026826,4127.025226432345,19388.84291045917,-426720.0,426720,0.0,-1194.816,1194.816,0.0,-1194.816,1194.816,20415148.258155704,51037.87064538926,51037.87064538926,719366.4293837692,1286914.2760560038,1870.3527163978,1544.2971312672046,3414.6498476650045,593960.4351027709,2037255.598661678,4692.28743731189,8760.199074245214,13452.486511557105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75966678.83741963,167126.6934423232,167126.6934423232,45147807.83125683,99325.17722876502,99325.17722876502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22372.0,44744.0,114.09719999999999,167.34256000000002,281.43976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22372.0,114.09719999999999,281.43976
