DGUID,Greenhouse cucumbers (m2),Greenhouse peppers (m2),Greenhouse tomatoes (m2),year,CD,Greenhouse tomatoes (Vegetable kg),Greenhouse tomatoes (Vegetable kg P),Greenhouse tomatoes (Total kg P),Greenhouse cucumbers (Vegetable kg),Greenhouse cucumbers (Vegetable kg P),Greenhouse cucumbers (Total kg P),Greenhouse peppers (Vegetable kg),Greenhouse peppers (Vegetable kg P),Greenhouse peppers (Total kg P)
2021A00032401,0.0,0.0,139.0,2021,2401,5465.8414,2.18633656,2.18633656,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032402,0.0,0.0,0.0,2021,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032403,280.0,93.0,557.0,2021,2403,21902.6882,8.76107528,8.76107528,12891.956,9.0243692,9.0243692,1964.2065,2.3570478,2.3570478
2021A00032404,0.0,0.0,0.0,2021,2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032405,1038.0,0.0,0.0,2021,2405,0.0,0.0,0.0,47792.32260000001,33.45462582000001,33.45462582000001,0.0,0.0,0.0
2021A00032406,0.0,0.0,0.0,2021,2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032407,465.0,0.0,0.0,2021,2407,0.0,0.0,0.0,21409.8555,14.986898850000003,14.986898850000003,0.0,0.0,0.0
2021A00032408,145.0,142.0,2048.0,2021,2408,80532.6848,32.21307392,32.21307392,6676.191500000001,4.673334050000001,4.673334050000001,2999.111,3.5989331999999994,3.5989331999999994
2021A00032409,0.0,0.0,1240.0,2021,2409,48760.024000000005,19.504009600000003,19.504009600000003,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032410,666.0,0.0,1371.0,2021,2410,53911.2846,21.56451384,21.56451384,30664.438200000004,21.465106740000007,21.465106740000007,0.0,0.0,0.0
2021A00032411,0.0,346.0,0.0,2021,2411,0.0,0.0,0.0,0.0,0.0,0.0,7307.693,8.7692316,8.7692316
2021A00032412,0.0,0.0,0.0,2021,2412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032413,0.0,0.0,0.0,2021,2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032414,0.0,0.0,0.0,2021,2414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032415,0.0,0.0,0.0,2021,2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032416,0.0,0.0,26306.0,2021,2416,1034420.3156000001,413.7681262400001,413.7681262400001,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032417,0.0,0.0,0.0,2021,2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032418,0.0,0.0,0.0,2021,2418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032419,0.0,0.0,0.0,2021,2419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032420,0.0,0.0,0.0,2021,2420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032421,352.0,0.0,1058.0,2021,2421,41603.3108,16.641324320000003,16.641324320000003,16207.030400000001,11.344921280000003,11.344921280000003,0.0,0.0,0.0
2021A00032422,0.0,0.0,0.0,2021,2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032423,0.0,0.0,0.0,2021,2423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032425,0.0,23006.0,116841.0,2021,2425,4594491.9066,1837.79676264,1837.79676264,0.0,0.0,0.0,485898.223,583.0778676,583.0778676
2021A00032426,0.0,0.0,0.0,2021,2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032427,0.0,0.0,0.0,2021,2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032428,0.0,0.0,0.0,2021,2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032429,1002.0,0.0,0.0,2021,2429,0.0,0.0,0.0,46134.7854,32.294349780000005,32.294349780000005,0.0,0.0,0.0
2021A00032430,0.0,0.0,0.0,2021,2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032431,0.0,0.0,0.0,2021,2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032432,0.0,0.0,0.0,2021,2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032433,892.0,0.0,0.0,2021,2433,0.0,0.0,0.0,41070.0884,28.749061880000003,28.749061880000003,0.0,0.0,0.0
2021A00032434,0.0,0.0,34116.0,2021,2434,1341529.8216000001,536.6119286400001,536.6119286400001,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032435,0.0,0.0,0.0,2021,2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032436,0.0,0.0,0.0,2021,2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032437,0.0,0.0,0.0,2021,2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032438,0.0,0.0,0.0,2021,2438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032439,0.0,0.0,0.0,2021,2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032440,0.0,0.0,28506.0,2021,2440,1120930.0356,448.37201424000006,448.37201424000006,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032441,0.0,0.0,0.0,2021,2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032442,0.0,0.0,0.0,2021,2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032443,2994.0,0.0,0.0,2021,2443,0.0,0.0,0.0,137851.8438,96.49629066000001,96.49629066000001,0.0,0.0,0.0
2021A00032444,4205.0,615.0,0.0,2021,2444,0.0,0.0,0.0,193609.5535,135.52668745000003,135.52668745000003,12989.1075,15.586929,15.586929
2021A00032445,0.0,0.0,0.0,2021,2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032446,0.0,0.0,0.0,2021,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032447,0.0,0.0,0.0,2021,2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032448,0.0,0.0,0.0,2021,2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032449,0.0,0.0,119369.0,2021,2449,4693899.4394000005,1877.5597757600003,1877.5597757600003,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032450,0.0,0.0,0.0,2021,2450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032451,0.0,0.0,41477.0,2021,2451,1630983.4802,652.39339208,652.39339208,0.0,0.0,0.0,0.0,0.0,0.0
