DGUID,Bulls,Calves (under 1 year),"Cows, beef","Cows, dairy","Cows, total","Heifers, for beef herd replacement","Heifers, for dairy herd replacement","Heifers, for slaughter or feeding","Heifers, total",Steers,Total cattle,CD
2021A00032401,,,,90.0,158.0,,,,,,281.0,2401
2021A00032402,17.0,,307.0,0.0,307.0,36.0,0.0,,,,662.0,2402
2021A00032403,4.0,,,,,,0.0,,,0.0,,2403
2021A00032404,,,,0.0,,,0.0,,,,,2404
2021A00032405,52.0,1022.0,1254.0,170.0,1424.0,108.0,,,220.0,,2887.0,2405
2021A00032406,40.0,941.0,1038.0,462.0,1500.0,120.0,131.0,324.0,575.0,545.0,3601.0,2406
2021A00032407,107.0,3188.0,3215.0,3615.0,6830.0,415.0,1521.0,445.0,2382.0,,12929.0,2407
2021A00032408,56.0,1425.0,1388.0,1992.0,3380.0,163.0,836.0,409.0,1408.0,547.0,6816.0,2408
2021A00032409,80.0,2390.0,1349.0,3873.0,5222.0,143.0,1555.0,210.0,1908.0,543.0,10142.0,2409
2021A00032410,41.0,2689.0,781.0,5509.0,6290.0,104.0,2503.0,166.0,2773.0,,11913.0,2410
2021A00032411,32.0,1354.0,489.0,3354.0,3843.0,84.0,1184.0,,1318.0,,6744.0,2411
2021A00032412,82.0,3735.0,1281.0,6240.0,7521.0,208.0,2391.0,,2773.0,1194.0,15306.0,2412
2021A00032413,50.0,2254.0,1046.0,2810.0,3856.0,159.0,1179.0,,1397.0,,7771.0,2413
2021A00032414,95.0,5719.0,1366.0,12667.0,14033.0,117.0,5070.0,457.0,5644.0,1179.0,26670.0,2414
2021A00032415,36.0,677.0,884.0,295.0,1179.0,86.0,108.0,,,,2230.0,2415
2021A00032416,39.0,935.0,981.0,455.0,1436.0,112.0,207.0,,374.0,,2885.0,2416
2021A00032417,82.0,2984.0,2101.0,4844.0,6945.0,176.0,1841.0,,2054.0,,12177.0,2417
2021A00032418,57.0,1931.0,407.0,4506.0,4913.0,,1923.0,83.0,2076.0,,9089.0,2418
2021A00032419,341.0,10054.0,3020.0,15818.0,18838.0,404.0,5954.0,359.0,6717.0,,36474.0,2419
2021A00032420,,,,893.0,920.0,,240.0,,,,1468.0,2420
2021A00032421,16.0,,344.0,307.0,651.0,,,,,,1356.0,2421
2021A00032422,,,,0.0,,,0.0,,,,,2422
2021A00032423,,,,,1062.0,,,,,0.0,,2423
2021A00032425,,1086.0,627.0,957.0,1584.0,,283.0,284.0,639.0,,3427.0,2425
2021A00032426,145.0,8217.0,3149.0,10863.0,14012.0,384.0,3910.0,,4493.0,7111.0,33978.0,2426
2021A00032427,183.0,6329.0,4592.0,8065.0,12657.0,676.0,2523.0,,3336.0,,22924.0,2427
2021A00032428,85.0,2367.0,1571.0,1138.0,2709.0,247.0,429.0,,781.0,,6085.0,2428
2021A00032429,184.0,4149.0,2595.0,6795.0,9390.0,333.0,2457.0,228.0,3018.0,1609.0,18349.0,2429
2021A00032430,95.0,3910.0,1503.0,5436.0,6939.0,740.0,2218.0,,3042.0,,14172.0,2430
2021A00032431,194.0,5008.0,4001.0,6363.0,10364.0,430.0,2398.0,,2932.0,,18926.0,2431
2021A00032432,258.0,9350.0,5238.0,9514.0,14752.0,621.0,3544.0,237.0,4402.0,,29185.0,2432
2021A00032433,216.0,9738.0,4489.0,14722.0,19211.0,572.0,5710.0,702.0,6983.0,2212.0,38361.0,2433
2021A00032434,71.0,4306.0,1202.0,5535.0,6737.0,122.0,2300.0,,2536.0,,13917.0,2434
2021A00032435,,1294.0,,1829.0,2097.0,,693.0,,982.0,,4440.0,2435
2021A00032436,11.0,,218.0,215.0,433.0,53.0,72.0,,135.0,,832.0,2436
2021A00032437,60.0,2136.0,932.0,5818.0,6750.0,,2106.0,936.0,3111.0,,12415.0,2437
2021A00032438,73.0,4293.0,712.0,7965.0,8677.0,,2984.0,,3205.0,,16333.0,2438
2021A00032439,177.0,13148.0,3000.0,20822.0,23822.0,385.0,9054.0,649.0,10088.0,,48409.0,2439
2021A00032440,94.0,2286.0,1491.0,3446.0,4937.0,301.0,1305.0,,1682.0,,9201.0,2440
2021A00032441,247.0,4705.0,4675.0,4070.0,8745.0,609.0,1716.0,395.0,2720.0,1016.0,17433.0,2441
