DGUID,Bison (buffalo),Deer (excluding wild deer),Donkeys and mules,Elk (wapiti),Goats,Horses and ponies,Llamas and alpacas,Mink,Rabbits,CD
2021A00032401,0.0,0.0,0.0,0.0,,15.0,0.0,0.0,0.0,2401
2021A00032402,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2402
2021A00032403,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2403
2021A00032404,0.0,0.0,0.0,0.0,,,0.0,0.0,,2404
2021A00032405,0.0,,0.0,0.0,185.0,57.0,0.0,0.0,0.0,2405
2021A00032406,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2406
2021A00032407,0.0,0.0,0.0,,,76.0,0.0,0.0,,2407
2021A00032408,0.0,0.0,0.0,0.0,,23.0,0.0,0.0,,2408
2021A00032409,0.0,,0.0,0.0,528.0,116.0,,0.0,,2409
2021A00032410,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2410
2021A00032411,,0.0,0.0,0.0,466.0,,0.0,0.0,,2411
2021A00032412,0.0,0.0,0.0,0.0,398.0,124.0,0.0,0.0,0.0,2412
2021A00032413,0.0,0.0,0.0,0.0,,,,0.0,,2413
2021A00032414,0.0,,,0.0,1109.0,166.0,,0.0,,2414
2021A00032415,0.0,0.0,9.0,0.0,0.0,74.0,,0.0,0.0,2415
2021A00032416,0.0,0.0,,0.0,417.0,62.0,131.0,0.0,,2416
2021A00032417,80.0,,0.0,0.0,,,,0.0,,2417
2021A00032418,0.0,,,0.0,,79.0,20.0,0.0,,2418
2021A00032419,0.0,,,81.0,2093.0,217.0,16.0,0.0,6836.0,2419
2021A00032420,0.0,,,0.0,482.0,64.0,0.0,0.0,,2420
2021A00032421,0.0,0.0,3.0,0.0,,106.0,,0.0,,2421
2021A00032422,0.0,150.0,0.0,0.0,,,,0.0,,2422
2021A00032423,0.0,0.0,,0.0,,153.0,0.0,0.0,,2423
2021A00032425,0.0,,,0.0,,294.0,22.0,0.0,,2425
2021A00032426,0.0,763.0,,,,363.0,,0.0,,2426
2021A00032427,0.0,,0.0,0.0,,109.0,0.0,0.0,,2427
2021A00032428,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2428
2021A00032429,0.0,0.0,17.0,0.0,,247.0,,0.0,,2429
2021A00032430,0.0,0.0,,,,128.0,0.0,0.0,,2430
2021A00032431,,,0.0,,,195.0,,539.0,,2431
2021A00032432,0.0,,,,2067.0,,,0.0,,2432
2021A00032433,,,,,,233.0,,0.0,,2433
2021A00032434,0.0,,,0.0,872.0,264.0,,0.0,,2434
2021A00032435,0.0,0.0,,0.0,471.0,108.0,,0.0,10458.0,2435
2021A00032436,0.0,0.0,0.0,0.0,,51.0,0.0,0.0,,2436
2021A00032437,0.0,213.0,,194.0,,244.0,,0.0,,2437
2021A00032438,,,,0.0,,201.0,,0.0,,2438
