DGUID,"Broilers, roasters and Cornish",Ducks,Geese,"Layer and broiler breeders (pullets and hens), total","Laying hens that produce table eggs, 19 weeks and over",Other poultry,"Pullets intended for laying table eggs, under 19 weeks",Total hens and chickens,Turkeys,CD
2021A00032401,0.0,0.0,0.0,0.0,6500.0,0.0,,,0.0,2401
2021A00032402,0.0,,0.0,0.0,0.0,0.0,,,,2402
2021A00032403,,,,0.0,,,,,,2403
2021A00032404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2404
2021A00032405,,0.0,0.0,0.0,,,,,,2405
2021A00032406,,0.0,0.0,0.0,,0.0,0.0,,,2406
2021A00032407,49655.0,0.0,0.0,,,0.0,,64755.0,,2407
2021A00032408,,,0.0,,,,0.0,,,2408
2021A00032409,,,,,,,,,,2409
2021A00032410,0.0,,,,25296.0,,,,,2410
2021A00032411,,0.0,0.0,0.0,,,,,0.0,2411
2021A00032412,,,0.0,,30507.0,,,,,2412
2021A00032413,,0.0,,0.0,,,,,,2413
2021A00032414,,,,,,,,,,2414
2021A00032415,,0.0,0.0,0.0,,0.0,0.0,,,2415
2021A00032416,360892.0,,,,51586.0,,45458.0,457980.0,,2416
2021A00032417,825378.0,,,41477.0,,,,881973.0,,2417
2021A00032418,,,,,,34009.0,,,0.0,2418
2021A00032419,809790.0,,,,104751.0,,107578.0,1031862.0,42755.0,2419
2021A00032420,,,,0.0,,5037.0,0.0,,32000.0,2420
2021A00032421,,1071.0,341.0,0.0,,0.0,0.0,,0.0,2421
2021A00032422,189051.0,0.0,0.0,0.0,,0.0,0.0,189264.0,170650.0,2422
2021A00032423,,,0.0,0.0,,,,,,2423
2021A00032425,,,27.0,0.0,,,,,,2425
2021A00032426,2074157.0,,,118533.0,108078.0,,,2330310.0,25835.0,2426
2021A00032427,332240.0,,,,,,,341585.0,,2427
2021A00032428,,0.0,0.0,0.0,,0.0,,,0.0,2428
2021A00032429,330870.0,,,,96419.0,,47493.0,474802.0,52500.0,2429
2021A00032430,,,,,,,,,,2430
2021A00032431,,,,,,,,,,2431
2021A00032432,,,0.0,0.0,,,54510.0,,,2432
2021A00032433,276145.0,24335.0,1738.0,,,,,286918.0,,2433
2021A00032434,,,0.0,0.0,,,,,,2434
2021A00032435,,,0.0,,,,,,,2435
2021A00032436,0.0,0.0,0.0,0.0,,,0.0,,0.0,2436
2021A00032437,159318.0,,,,,,0.0,183367.0,0.0,2437
2021A00032438,455294.0,0.0,0.0,,,,,469930.0,,2438
2021A00032439,445358.0,,,221133.0,,25670.0,208452.0,943979.0,10570.0,2439
2021A00032440,,0.0,,0.0,,,,,0.0,2440
2021A00032441,,,,,,,,,,2441
2021A00032442,,,,,,,,,,2442
2021A00032443,,,,0.0,,0.0,,,0.0,2443
2021A00032444,182770.0,,,0.0,,,,214241.0,,2444
2021A00032445,201301.0,,138.0,,,,,211548.0,,2445
2021A00032446,977041.0,,,,438316.0,,,1483691.0,87635.0,2446
2021A00032447,1487220.0,,,,,,,1559341.0,,2447
2021A00032448,,,1500.0,0.0,96681.0,,77000.0,249461.0,0.0,2448
2021A00032449,1436833.0,,,611561.0,411693.0,,63461.0,2523549.0,33472.0,2449
2021A00032450,646264.0,,0.0,,103772.0,9959.0,,765478.0,9202.0,2450
2021A00032451,2011914.0,,,75299.0,,,68910.0,2169173.0,32517.0,2451
2021A00032452,1452720.0,,,0.0,46643.0,9368.0,,1499435.0,42900.0,2452
2021A00032453,147334.0,0.0,0.0,,,,,147730.0,0.0,2453
2021A00032454,3959819.0,,,150106.0,637966.0,,602662.0,5350554.0,386631.0,2454
2021A00032455,1518408.0,342507.0,,107298.0,,5118.0,236199.0,2075883.0,110576.0,2455
2021A00032456,284087.0,,,,,,,,,2456
2021A00032457,424480.0,,,,,1721.0,,425038.0,,2457
2021A00032458,,0.0,0.0,0.0,,,0.0,,0.0,2458
2021A00032459,,0.0,0.0,0.0,,0.0,0.0,,,2459
2021A00032460,114786.0,,0.0,,74510.0,0.0,28598.0,217904.0,0.0,2460
2021A00032461,384135.0,,,24029.0,,,,436707.0,3825.0,2461
2021A00032462,4303712.0,,,277652.0,,19251.0,,4598046.0,100221.0,2462
2021A00032463,882492.0,414.0,,80796.0,,,,987171.0,21031.0,2463
2021A00032464,,,0.0,0.0,,,0.0,,,2464
2021A00032465,,,,0.0,,,,,,2465
2021A00032466,0.0,,0.0,0.0,,,,,0.0,2466
2021A00032467,,,,0.0,,0.0,,,0.0,2467
2021A00032468,,,,,,1830.0,,,,2468
2021A00032469,,,,,,,,,,2469
2021A00032470,,,0.0,,,,,,,2470
2021A00032471,,,,,413308.0,2812.0,,546255.0,,2471
2021A00032472,,170.0,,0.0,,,,,0.0,2472
2021A00032473,206253.0,,,,,,,206399.0,0.0,2473
2021A00032474,218676.0,358.0,210.0,0.0,,6314.0,,221231.0,2824.0,2474
2021A00032475,438939.0,,0.0,0.0,,,,440094.0,,2475
2021A00032476,,,,,27080.0,,32374.0,60474.0,,2476
2021A00032477,,,0.0,,,0.0,,,0.0,2477
2021A00032478,,,,,,,,,,2478
2021A00032479,42630.0,,,0.0,,,,,,2479
2021A00032480,,,,,,,,,,2480
2021A00032481,,,,,,,,,,2481
2021A00032482,,,0.0,,,,,,,2482
2021A00032483,,,171.0,,,6276.0,,,,2483
2021A00032484,,,,,,,,,,2484
2021A00032485,,,,,,,,,,2485
2021A00032486,,,,0.0,,,,,,2486
2021A00032487,,,,0.0,,,,,0.0,2487
2021A00032488,,,,,,,,,,2488
2021A00032489,,,,0.0,107880.0,,38909.0,146859.0,,2489
2021A00032490,,,15.0,,,,,,,2490
2021A00032491,111756.0,,,,,,,113623.0,,2491
2021A00032492,,,0.0,,,,,,0.0,2492
2021A00032493,349064.0,,,,140552.0,,32037.0,521728.0,,2493
2021A00032494,,,,,49704.0,,,,,2494
2021A00032495,,0.0,0.0,,,,,,,2495
2021A00032496,0.0,,0.0,0.0,,,,,0.0,2496
2021A00032497,0.0,,,,,,,,0.0,2497
2021A00032498,,,0.0,0.0,,0.0,0.0,,0.0,2498
2021A00032499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499
