CD,Sheep,Lamb
2401,0.0,0.0
2402,0.0,0.0
2403,0.0,0.0
2404,0.0,0.0
2405,1896.0,1927.0
2406,1354.0,1145.0
2407,0.0,0.0
2408,2957.0,2760.0
2409,10997.0,8788.0
2410,5280.0,5586.0
2411,2535.0,2103.0
2412,6236.0,5113.0
2413,2264.0,2210.0
2414,2593.0,2060.0
2415,0.0,0.0
2416,1669.0,1310.0
2417,1111.0,981.0
2418,0.0,0.0
2419,40.0,876.0
2420,0.0,0.0
2421,0.0,0.0
2422,0.0,0.0
2423,0.0,0.0
2425,0.0,0.0
2426,3673.0,2077.0
2427,1003.0,726.0
2428,0.0,0.0
2429,1122.0,1276.0
2430,0.0,0.0
2431,0.0,0.0
2432,3208.0,2090.0
2433,3125.0,2226.0
2434,0.0,0.0
2435,0.0,0.0
2436,0.0,0.0
2437,0.0,0.0
2438,2161.0,1271.0
2439,5564.0,4269.0
2440,2717.0,1764.0
2441,4117.0,4084.0
2442,6540.0,4502.0
2443,0.0,0.0
2444,62.0,1149.0
2445,0.0,0.0
2446,1626.0,1378.0
2447,1471.0,1288.0
2448,1368.0,1117.0
2449,2674.0,2036.0
2450,0.0,0.0
2451,2248.0,1579.0
2452,1622.0,1855.0
2453,433.0,322.0
2454,5288.0,3482.0
2455,0.0,0.0
2456,695.0,2209.0
2457,1035.0,1585.0
2458,0.0,0.0
2459,0.0,0.0
2460,414.0,360.0
2461,0.0,0.0
2462,0.0,0.0
2463,0.0,0.0
2464,15.0,556.0
2465,0.0,0.0
2466,0.0,0.0
2467,0.0,0.0
2468,22.0,0.0
2469,2393.0,2654.0
2470,330.0,359.0
2471,0.0,0.0
2472,0.0,0.0
2473,0.0,476.0
2474,0.0,781.0
2475,0.0,0.0
2476,0.0,0.0
2477,0.0,0.0
2478,15.0,0.0
2479,1422.0,1005.0
2480,1511.0,1021.0
2481,0.0,0.0
2482,2121.0,3317.0
2483,625.0,0.0
2484,1176.0,969.0
2485,906.0,532.0
2486,0.0,0.0
2487,1256.0,1574.0
2488,0.0,0.0
2489,0.0,0.0
2490,0.0,0.0
2491,0.0,0.0
2492,1093.0,926.0
2493,1868.0,1989.0
2494,766.0,618.0
2495,0.0,0.0
2496,0.0,0.0
2497,12.0,0.0
2498,0.0,0.0
2499,0.0,0.0
