DGUID,Boars for breeding,"Market pigs, 50 lb (23 kg) and over",Sows and gilts for breeding,"Suckling pigs, less than 15 lb (7 kg)",Total pigs,"Weanling, nursery or starter pigs, 15 to 49 lb (7 to 22 kg)",CD
2021A00032401,0.0,0.0,0.0,0.0,0.0,0.0,2401
2021A00032402,0.0,0.0,0.0,0.0,0.0,0.0,2402
2021A00032403,0.0,0.0,0.0,0.0,0.0,0.0,2403
2021A00032404,0.0,0.0,,0.0,,0.0,2404
2021A00032405,0.0,,0.0,0.0,,0.0,2405
2021A00032406,0.0,0.0,0.0,0.0,,,2406
2021A00032407,,,,,,,2407
2021A00032408,298.0,,708.0,,,,2408
2021A00032409,271.0,,3273.0,5300.0,18609.0,,2409
2021A00032410,,7283.0,4852.0,5735.0,23038.0,5146.0,2410
2021A00032411,,4846.0,2345.0,3500.0,11216.0,,2411
2021A00032412,,15573.0,,,30194.0,13234.0,2412
2021A00032413,,,,,,,2413
2021A00032414,,13789.0,3384.0,6786.0,27294.0,,2414
2021A00032415,,12550.0,2554.0,3393.0,23730.0,5219.0,2415
2021A00032416,,14985.0,3171.0,5704.0,30156.0,6275.0,2416
2021A00032417,,,,,18923.0,,2417
2021A00032418,,,4915.0,,30286.0,15780.0,2418
2021A00032419,127.0,134151.0,25132.0,10813.0,224970.0,54746.0,2419
2021A00032420,0.0,0.0,0.0,0.0,0.0,0.0,2420
2021A00032421,0.0,0.0,0.0,0.0,,,2421
2021A00032422,0.0,0.0,0.0,0.0,,,2422
2021A00032423,0.0,0.0,0.0,0.0,0.0,0.0,2423
2021A00032425,0.0,,,0.0,,,2425
2021A00032426,151.0,180716.0,22509.0,25884.0,301129.0,71869.0,2426
2021A00032427,,135186.0,6075.0,8768.0,177719.0,27665.0,2427
2021A00032428,,26217.0,3532.0,,37940.0,,2428
2021A00032429,,29079.0,,,49940.0,,2429
2021A00032430,,28701.0,,,35428.0,,2430
2021A00032431,,44073.0,12675.0,10845.0,94508.0,26874.0,2431
2021A00032432,40.0,71045.0,9913.0,12565.0,112512.0,18949.0,2432
2021A00032433,89.0,117412.0,16354.0,20996.0,192568.0,37717.0,2433
2021A00032434,,6947.0,2247.0,,14012.0,4452.0,2434
2021A00032435,,,,3915.0,14282.0,,2435
2021A00032436,0.0,0.0,0.0,0.0,0.0,0.0,2436
2021A00032437,,17771.0,2535.0,,29221.0,6130.0,2437
2021A00032438,41.0,24975.0,11068.0,11864.0,62184.0,14236.0,2438
2021A00032439,,70516.0,,,105168.0,23352.0,2439
2021A00032440,20.0,30940.0,10847.0,11508.0,64315.0,,2440
2021A00032441,20.0,,5520.0,6287.0,48123.0,20305.0,2441
2021A00032442,27.0,27361.0,9233.0,9734.0,72909.0,26554.0,2442
2021A00032443,0.0,,,,,,2443
2021A00032444,51.0,55587.0,8218.0,7942.0,96854.0,25056.0,2444
2021A00032445,,,,,,,2445
2021A00032446,120.0,115124.0,9577.0,10716.0,190374.0,54837.0,2446
2021A00032447,,71463.0,2628.0,4000.0,102539.0,24441.0,2447
2021A00032448,29.0,118003.0,5273.0,5814.0,202809.0,73689.0,2448
2021A00032449,138.0,226116.0,34558.0,51278.0,401774.0,89684.0,2449
2021A00032450,17.0,80312.0,4545.0,5922.0,139689.0,48894.0,2450
2021A00032451,,45532.0,6898.0,7079.0,76282.0,16748.0,2451
2021A00032452,,45277.0,3574.0,6747.0,69688.0,14074.0,2452
2021A00032453,19.0,25027.0,5123.0,9463.0,60214.0,20581.0,2453
2021A00032454,55.0,353835.0,15568.0,36395.0,518628.0,112775.0,2454
2021A00032455,28.0,120587.0,10655.0,12576.0,179779.0,35933.0,2455
2021A00032456,30.0,93210.0,4027.0,6689.0,136867.0,32911.0,2456
2021A00032457,0.0,11290.0,0.0,0.0,23804.0,12514.0,2457
2021A00032458,0.0,,0.0,0.0,,0.0,2458
2021A00032459,0.0,0.0,0.0,0.0,0.0,0.0,2459
2021A00032460,0.0,7194.0,0.0,0.0,8544.0,,2460
2021A00032461,,13385.0,2768.0,,20823.0,2713.0,2461
2021A00032462,,,,,,,2462
2021A00032463,58.0,56616.0,5739.0,13682.0,87809.0,11714.0,2463
2021A00032464,0.0,,0.0,0.0,,0.0,2464
2021A00032465,0.0,,,0.0,,0.0,2465
2021A00032466,0.0,0.0,0.0,0.0,,,2466
