CD,SwineInmature,SwineMature,SwineInmature_AU,SwineMature_AU,SwineAnimalUnits,SwineInmature_Manure_kgperyear,SwineMature_Manure_kgperyear,SwineManure_kgperyear,SwineInmature_P_kgperyear,SwineMature_P_kgperyear,SwineP_kgperyear,SwineInmature_Pinorg_kgperyear,SwineMature_Pinorg_kgperyear,SwinePinorg_kgperyear,SwineInmature_Porg_kgperyear,SwineMature_Porg_kgperyear,SwinePorg_kgperyear
2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408,0.0,1006.0,0.0,376.7790262172285,376.7790262172285,0.0,2088437.0856928912,2088437.0856928912,0.0,4601.641036272463,4601.641036272463,0.0,2668.9518010380284,2668.9518010380284,0.0,1932.6892352344344,1932.6892352344344
2409,5300.0,3544.0,583.0583058305831,1327.3408239700375,1910.3991298006206,7770111.469746978,7357277.367490662,15127388.837237641,10758.615881188089,16210.950131759055,26969.566012947143,6239.997211089091,9402.351076420251,15642.348287509343,4518.618670098997,6808.599055338803,11327.2177254378
2410,18164.0,4852.0,1998.2398239823983,1817.2284644194758,3815.468288401874,26629491.459713988,10072660.775131121,36702152.23484511,36871.60355960386,22193.998318085476,59065.60187768933,21385.530064570234,12872.519024489575,34258.04908905981,15486.07349503362,9321.4792935959,24807.552788629517
2411,8346.0,2345.0,918.1518151815181,878.2771535580524,1796.4289687395706,12235726.476699676,4868175.910486909,17103902.387186587,16941.775121584113,10726.489294293167,27668.264415877282,9826.229570518784,6221.363790690037,16047.593361208821,7115.545551065327,4505.12550360313,11620.671054668457
2412,28807.0,0.0,3169.086908690869,0.0,3169.086908690869,42232754.926226646,0.0,42232754.926226646,58476.122205544394,0.0,58476.122205544394,33916.15087921575,0.0,33916.15087921575,24559.971326328643,0.0,24559.971326328643
2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2414,20575.0,3384.0,2263.4763476347634,1267.4157303370787,3530.892077971842,30164159.14906492,7025120.375730363,37189279.52479529,41765.75882178206,15479.078793982124,57244.83761576418,24224.140116633593,8977.865700509632,33202.005817143225,17541.618705148463,6501.213093472492,24042.831798620955
2415,21162.0,2554.0,2328.052805280528,956.554307116105,3284.607112396633,31024735.645808592,5302055.980973802,36326791.626782395,42957.32627881175,11682.496229264285,54639.82250807603,24915.24924171081,6775.847812973285,31691.097054684098,18042.077037100935,4906.648416290999,22948.725453391933
2416,26964.0,3171.0,2966.3366336633662,1187.6404494382023,4153.9770831015685,39530808.61702972,6582936.380449462,46113744.99747918,54734.96577742558,14504.77507556658,69239.74085299217,31746.280150906838,8412.769543828615,40159.049694735455,22988.685626518745,6092.005531737964,29080.691158256708
2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2418,15780.0,4915.0,1735.973597359736,1840.8239700374531,3576.797567397189,23134407.357095722,10203447.59063674,33337854.947732463,32032.25634059397,22482.172657335144,54514.42899792911,18578.708677544502,13039.660141254382,31618.368818798885,13453.547663049467,9442.51251608076,22896.060179130225
